date,earthquakes_per_year
1/1/1900,13
1/1/1901,14
1/1/1902,8
1/1/1903,10
1/1/1904,16
1/1/1905,26
1/1/1906,32
1/1/1907,27
1/1/1908,18
1/1/1909,32
1/1/1910,36
1/1/1911,24
1/1/1912,22
1/1/1913,23
1/1/1914,22
1/1/1915,18
1/1/1916,25
1/1/1917,21
1/1/1918,21
1/1/1919,14
1/1/1920,8
1/1/1921,11
1/1/1922,14
1/1/1923,23
1/1/1924,18
1/1/1925,17
1/1/1926,19
1/1/1927,20
1/1/1928,22
1/1/1929,19
1/1/1930,13
1/1/1931,26
1/1/1932,13
1/1/1933,14
1/1/1934,22
1/1/1935,24
1/1/1936,21
1/1/1937,22
1/1/1938,26
1/1/1939,21
1/1/1940,23
1/1/1941,24
1/1/1942,27
1/1/1943,41
1/1/1944,31
1/1/1945,27
1/1/1946,35
1/1/1947,26
1/1/1948,28
1/1/1949,36
1/1/1950,39
1/1/1951,21
1/1/1952,17
1/1/1953,22
1/1/1954,17
1/1/1955,19
1/1/1956,15
1/1/1957,34
1/1/1958,10
1/1/1959,15
1/1/1960,22
1/1/1961,18
1/1/1962,15
1/1/1963,20
1/1/1964,15
1/1/1965,22
1/1/1966,19
1/1/1967,16
1/1/1968,30
1/1/1969,27
1/1/1970,29
1/1/1971,23
1/1/1972,20
1/1/1973,16
1/1/1974,21
1/1/1975,21
1/1/1976,25
1/1/1977,16
1/1/1978,18
1/1/1979,15
1/1/1980,18
1/1/1981,14
1/1/1982,10
1/1/1983,15
1/1/1984,8
1/1/1985,15
1/1/1986,6
1/1/1987,11
1/1/1988,8
1/1/1989,7
1/1/1990,13
1/1/1991,10
1/1/1992,23
1/1/1993,16
1/1/1994,15
1/1/1995,25
1/1/1996,22
1/1/1997,20
1/1/1998,16
